"Empresa","Geo.region","Porcentaje.de.cacao","Localizacion","Calificacion","Tipo.de.frijol"
1,14,0.63,18,3.75,8
1,476,0.7,18,2.75,31
1,64,0.7,18,3,8
1,15,0.7,18,3.5,17
1,789,0.7,18,3.5,31
1,166,0.7,18,2.75,8
1,275,0.7,18,3.5,8
1,899,0.7,18,3.5,8
1,781,0.7,18,3.75,8
1,707,0.7,18,4,17
1,712,0.7,18,2.75,31
1,547,0.7,18,3,8
1,129,0.7,18,3.25,31
1,321,0.7,18,3.75,8
1,229,0.7,18,2.75,31
1,111,0.7,18,3,8
1,720,0.7,18,3.25,31
1,203,0.7,18,4,31
1,747,0.7,18,3.25,31
1,189,0.7,18,3.5,19
1,189,0.63,18,4,31
1,125,0.7,18,3.5,19
1,730,0.63,18,3.75,8
2,219,0.7,55,3.75,8
2,964,0.7,55,3.75,8
3,977,0.6,16,2.75,31
3,979,0.8,16,3.25,31
3,977,0.88,16,3.5,31
3,978,0.72,16,3.5,31
4,536,0.55,15,2.75,21
4,536,0.7,15,3,21
5,906,0.7,34,3,8
6,84,0.75,53,3.75,31
6,550,0.75,53,2.75,8
6,638,0.75,53,2.75,19
7,954,0.65,18,2.75,31
7,986,0.75,18,2.75,31
7,547,0.75,18,3,31
7,203,0.75,18,2.5,31
7,755,0.75,18,2.5,31
8,1004,0.7,35,3.5,24
8,485,0.7,35,3.5,17
8,930,0.7,35,3.5,31
8,560,0.7,35,3.5,19
9,633,0.6,55,2.75,31
9,8,0.6,55,3,8
9,225,0.6,55,2.5,31
9,989,0.6,55,2.5,31
9,387,0.6,55,2.75,31
9,899,0.6,55,2.5,31
9,237,0.6,55,3,31
9,125,0.8,55,3.25,31
9,125,0.6,55,3,31
9,730,0.6,55,3.25,31
10,641,0.7,55,4,32
10,313,0.7,55,3.75,8
10,400,0.7,55,4,31
10,203,0.7,55,3,31
10,634,0.7,55,3,8
10,85,0.7,55,2.75,31
10,547,0.7,55,3.5,31
10,281,0.7,55,3,8
10,675,0.7,55,3.75,8
11,363,0.7,49,3,19
11,321,0.7,49,2.75,31
11,321,0.85,49,2.75,24
11,363,0.85,49,3,19
12,507,0.72,38,3.25,31
12,104,0.73,38,3.5,31
13,96,0.64,8,3,31
13,547,0.66,8,3.25,31
13,299,0.75,8,3.25,31
13,720,0.63,8,3.25,31
13,982,0.7,8,3.25,31
13,730,0.68,8,3.5,8
14,752,0.7,29,3.75,8
14,760,0.7,29,4,14
14,659,0.75,29,4,5
14,203,0.7,29,5,31
14,321,0.7,29,3,31
14,442,0.7,29,3,31
14,383,0.7,29,3.5,31
14,982,0.7,29,3.75,32
14,547,0.7,29,4,32
14,950,0.7,29,3.5,31
14,944,0.63,29,3.5,5
14,944,0.7,29,5,5
14,944,0.66,29,4,5
15,185,0.75,7,3.25,23
15,636,0.85,7,2.75,25
15,636,0.5,7,3.75,25
15,636,0.75,7,3.75,25
15,636,0.6,7,4,25
16,339,0.75,55,3,8
17,27,0.75,55,3.5,19
18,547,0.75,18,3,31
18,192,0.72,18,2.5,31
18,321,0.75,18,2.75,8
18,949,0.75,18,3,8
19,846,0.7,55,3.5,31
19,470,0.7,55,3.75,8
19,930,0.73,55,3.5,31
19,404,0.7,55,3.25,31
19,257,0.7,55,3.25,31
19,499,0.7,55,3.5,31
19,815,0.7,55,3.75,8
19,490,0.7,55,3.5,31
19,263,0.7,55,4,31
19,741,0.7,55,4,24
19,339,0.7,55,3.75,8
19,603,0.7,55,3.25,31
19,505,0.73,55,3.25,31
19,352,0.7,55,3.5,31
19,645,0.68,55,3.5,24
19,784,0.7,55,3.75,24
19,689,0.7,55,3.5,31
19,609,0.7,55,3.75,31
19,220,0.7,55,4,17
19,352,0.75,55,2.75,8
19,399,0.7,55,3.25,31
19,146,0.75,55,3.5,31
20,952,0.72,54,3.25,31
20,231,0.72,54,3.75,31
20,405,0.72,54,4,31
20,712,0.72,54,2.75,31
20,982,1,54,1.75,21
20,442,0.72,54,3.75,31
20,258,0.72,54,3.25,31
20,69,0.72,54,3.25,31
20,83,0.72,54,3.5,31
20,688,0.75,54,2.5,17
20,450,0.72,54,2.75,31
20,131,0.72,54,1.75,31
20,547,0.8,54,3,17
20,730,0.75,54,3,8
20,299,0.72,54,3.25,31
20,246,0.72,54,3.75,19
21,702,0.72,54,2.75,31
22,543,0.68,55,3.75,31
22,922,0.72,55,3.75,31
22,256,0.7,55,3.75,31
22,292,0.77,55,3.75,31
22,1006,0.75,55,2.5,31
22,845,0.7,55,3,21
23,425,0.8,3,3.25,31
23,720,0.7,3,3.5,31
23,821,0.7,3,3,31
23,71,0.7,3,2.5,8
23,425,0.7,3,2.5,5
24,89,0.7,38,2.75,31
